id_partido,id_jugador,equipo
1,4,1
1,7,1
1,6,2
1,2,2
2,3,1
2,1,1
2,4,2
2,6,2
3,7,1
3,3,1
3,1,2
3,2,2
4,4,1
4,2,1
4,6,2
4,7,2
5,4,1
5,1,1
5,3,2
5,2,2
6,3,1
6,6,1
6,7,2
6,1,2
7,7,1
7,2,1
7,4,2
7,3,2
8,1,1
8,2,1
8,3,2
8,5,2
9,1,1
9,3,1
9,2,2
9,5,2
10,1,1
10,5,1
10,2,2
10,3,2
11,2,1
11,5,1
11,3,2
11,6,2
12,1,1
12,2,1
12,3,2
12,6,2
13,1,1
13,3,1
13,2,2
13,6,2
14,1,1
14,6,1
14,2,2
14,3,2
15,1,1
15,2,1
15,3,2
15,6,2
16,1,1
16,3,1
16,2,2
16,6,2
17,1,1
17,6,1
17,2,2
17,3,2
18,3,1
18,6,1
18,1,2
18,4,2
19,4,1
19,6,1
19,3,2
19,5,2
20,1,1
20,5,1
20,6,2
20,4,2
21,1,1
21,6,1
21,3,2
21,4,2
22,1,1
22,3,1
22,7,2
22,5,2
23,3,1
23,5,1
23,7,2
23,4,2
24,1,1
24,7,1
24,5,2
24,6,2
25,7,1
25,6,1
25,4,2
25,5,2
26,1,1
26,3,1
26,4,2
26,7,2
27,1,1
27,3,1
27,4,2
27,6,2
28,1,1
28,4,1
28,3,2
28,7,2
29,3,1
29,6,1
29,7,2
29,4,2
30,1,1
30,2,1
30,6,2
30,3,2
31,1,1
31,3,1
31,2,2
31,6,2
32,1,1
32,6,1
32,2,2
32,3,2
33,1,1
33,2,1
33,6,2
33,3,2
34,1,1
34,3,1
34,2,2
34,6,2
35,1,1
35,6,1
35,2,2
35,3,2
36,1,1
36,2,1
36,6,2
36,3,2
37,1,1
37,3,1
37,2,2
37,6,2
38,1,1
38,7,1
38,6,2
38,3,2
39,2,1
39,3,1
39,6,2
39,7,2
40,1,1
40,6,1
40,2,2
40,7,2
41,1,1
41,2,1
41,3,2
41,7,2
42,1,1
42,6,1
42,2,2
42,3,2
43,1,1
43,3,1
43,6,2
43,7,2
44,3,1
44,6,1
44,5,2
44,2,2
45,1,1
45,3,1
45,6,2
45,2,2
46,1,1
46,5,1
46,3,2
46,2,2
47,1,1
47,6,1
47,5,2
47,3,2
48,1,1
48,2,1
48,6,2
48,5,2
49,6,1
