id_partido,id_jornada,juegos_equipo1,juegos_equipo2,comentario,fecha,sede,equipo_ganador
1,1,0,2,,2025-12-16,Moscatelares,2.0
2,1,2,0,,2025-12-16,Moscatelares,1.0
3,1,2,0,,2025-12-16,Moscatelares,1.0
4,2,2,0,,2025-12-23,Moscatelares,1.0
5,2,0,2,,2025-12-23,Moscatelares,2.0
6,2,1,2,,2025-12-23,Moscatelares,2.0
7,2,2,0,,2025-12-23,Moscatelares,1.0
8,2,0,2,,2025-12-23,Moscatelares,2.0
9,2,2,1,,2025-12-23,Moscatelares,1.0
10,2,2,1,,2025-12-23,Moscatelares,1.0
11,2,1,2,,2025-12-23,Moscatelares,2.0
12,2,2,0,,2025-12-23,Moscatelares,1.0
13,3,1,2,,2026-03-21,Moscatelares,2.0
14,3,2,0,,2026-03-21,Moscatelares,1.0
15,3,0,2,,2026-03-21,Moscatelares,2.0
16,3,1,2,,2026-03-21,Moscatelares,2.0
17,3,2,0,,2026-03-21,Moscatelares,1.0
18,3,2,0,,2026-03-21,Moscatelares,1.0
19,4,2,1,,2026-03-28,Moscatelares,1.0
20,4,1,2,CINE,2026-03-28,Moscatelares,2.0
21,4,1,2,,2026-03-28,Moscatelares,2.0
22,4,2,1,,2026-03-28,Moscatelares,1.0
23,4,0,2,,2026-03-28,Moscatelares,2.0
24,4,2,0,,2026-03-28,Moscatelares,1.0
25,4,2,0,,2026-03-28,Moscatelares,1.0
26,4,2,0,,2026-03-28,Moscatelares,1.0
27,4,2,0,,2026-03-28,Moscatelares,1.0
28,4,2,1,,2026-03-28,Moscatelares,1.0
29,4,1,2,,2026-03-28,Moscatelares,2.0
30,4,2,0,,2026-03-28,Moscatelares,1.0
31,5,2,1,,2026-04-01,Moscatelares,1.0
32,5,2,0,,2026-04-01,Moscatelares,1.0
33,5,0,2,,2026-04-01,Moscatelares,2.0
34,5,2,0,,2026-04-01,Moscatelares,1.0
